Species,individuals_freq,Cover_percentage
Gentianella_moorcroftiana,6,8
Thalictrum_foetidum,8,5
Poa_attenuata_(g)35,20
Cicer_microphyllum,2,5
Astragalus_thomsonii,25,20
Geranium_regelii,3,4
Artemisia_dracunculus,5,8
Gentiana_squarrosa,5,2
Pleurospermum_candollei,1,2
Silene_rechingeri,30,15
Nepeta_discolor,8,5
Elymus_sp_(g),5,3
Lonicera_spinosa,1,7
Elymus_nutans_(g),10,5
Astragalus_oplites,5,3
Sibbaldianthe_bifurca,9,4
Medicago_falcata,10,15
Nepeta_discolor,10,8
Arnebia_euchroma,1,3
